Name,Entrants,Country,City,State,Date,Prize Pool,Winner,2nd,3rd,4th,5th,6th,7th,8th
Smash Summit Spring 2017,16,USA,Los Angeles,CA,2017-03-05,51488,Armada,Hungrybox,Leffen,Mew2King,Axe,Plup,SFAT,ChuDat
Frame Perfect Series 2,134,USA,Orlando,FL,2017-03-19,3500,Hungrybox,Mew2King,The Moon,S2J,drunksloth,Shroomed,Kels,Lucky
Full Bloom 3,316,USA,Bloomington,IN,2017-03-25,3160,Hungrybox,Duck,SFAT,Axe,The Moon,DruggedFox,KJH,Westballz
Smash Rivalries,16,USA,Burbank,CA,2017-04-09,5000,Hungrybox,Wizzrobe,Druggedfox,SFAT,ChuDat,Axe,Mango,Swedish Delight
CEO Dreamland,333,USA,Orlando,FL,2017-04-16,4500,Mew2King,SFAT,Hungrybox,Swedish Delight,Plup,HugS,PewPewU,dizzkidboogie
HFLAN Melee Edition 2017,233,France,Paris,,2017-04-16,4207,Armada,ChuDat,Trif,Amsah,Professor Pro,Overtriforce,Android,Adam
Dreamhack Austin 2017,438,USA,Austin,TX,2017-04-30,10000,Hungrybox,ChuDat,Mew2King,Mango,Plup,Wizzrobe,Leffen,Laudandus
Royal Flush,331,USA,Atlantic City,NJ,2017-05-14,8382,Mango,Armada,Hungrybox,DruggedFox,Leffen,Shroomed,The Moon,Nintendude
Smash 'N' Splash 3,848,USA,Wisconsin Dells,WI,2017-06-04,13519,Hungrybox,Leffen,Armada,Shroomed,Mango,Plup,Wizzrobe,Axe
Battle of BC 2,396,Canada,Vancouver,BC,2017-06-04,5000,ChuDat,Mew2King,KirbyKaze,Prince Abu,MikeHaze,HugS,aMSa,Nintendude
CEO 2017,292,USA,Orlando,FL,2017-06-18,2920,Hungrybox,Plup,Axe,Colbol,Swedish Delight,Wizzrobe,S2J,King Momo
Bad Moon Rising 2,385,USA,Winston-Salem,NC,2017-07-01,4190,Hungrybox,DruggedFox,Swedish Delight,n0ne,$mike,slox,Sharkz,Kaeon
Evo 2017,1428,USA,Las Vegas,NV,2017-07-16,14280,Armada,Mango,Hungrybox,Mew2King,Plup,Lucky,SFAT,The Moon
Dreamhack Atlanta 2017,402,USA,Atlanta,GA,2017-07-23,10000,Plup,Hungrybox,Mew2King,Axe,DruggedFox,SFAT,The Moon,Ryan Ford
Get On My Level 2017,566,Canada,Mississauga,ON,2017-07-30,5660,Leffen,Hungrybox,The Moon,SFAT,KirbyKaze,Westballz,n0ne,Shroomed
Super Smash Con 2017,1092,USA,Chantilly,VA,2017-08-13,10920,Mango,Mew2King,Plup,Hungrybox,Zain,Axe,SFAT,PewPewU
Heir 4,476,UK,Nottingham,,2017-08-21,5800,Leffen,S2J,Trif,Smsah,Professor Pro,Overtriforce,Vanity Angel,Avalancer
Shine 2017,1156,USA,Boston,MA,2017-08-27,11560,Hungrybox,Mango,S2J,Mew2King,Leffen,Plup,ChuDat,Shroomed
Syndicate 2017,224,Netherlands,Utrecht,,2017-09-24,2240,Armada,Wizzrobe,Trif,ChuDat,Professor Pro,Amsah,Overtriforce,Avalancer
GameTyrant Expo 2017,354,USA,Salt Lake City,UT,2017-10-01,30000,Hungrybox,Armada,Mew2King,SFAT,Plup,Shroomed,DruggedFox,S2J
The Big House 7,1522,USA,Detroit,MI,2017-10-08,15220,Hungrybox,Plup,Leffen,Armada,Mango,Mew2King,Wizzrobe,S2J
Dreamhack Denver 2017,314,USA,Denver,CO,2017-10-22,10000,Hungrybox,Mango,Axe,S2J,ChuDat,SFAT,Mew2King,Zain
Too Hot to Handle,150,USA,Miami,FL,2017-10-29,3000,Hungrybox,Crush,Plup,DruggedFox,MikeHaze,HugS,Colbol,Gahtzu
Canada Cup 2017,170,Canada,Mississauga,ON,2017-10-30,5000,Mew2King,Leffen,Armada,n0ne,Kage,KJH,Android,Trulliam
Smash Summit 5,16,USA,Los Angeles,CA,2017-11-05,83190,Hungrybox,Armada,Leffen,Mango,Axe,Plup,Wizzrobe,SFAT
Valhalla,171,Denmark,Copenhagen,,2018-01-08,1710,Leffen,Armada,Overtriforce,Trif,Professor Pro,Android,Daydee,JohnnyFight
GENESIS 5,1365,USA,Oakland,CA,2018-01-21,14630,Plup,Hungrybox,Leffen,Armada,Mango,Lucky,Axe,HugS
